feature,importance
thalach,0.12799493295839692
oldpeak,0.11263074862312258
cp_4.0,0.10371807049439409
thal_7.0,0.10166841561842473
age,0.09887124350317325
trestbps,0.08194093998466209
chol,0.07704574232529736
exang,0.06432589865559521
slope_2.0,0.04187020630587641
sex,0.039484416420225994
ca_1.0,0.03189629822385564
cp_3.0,0.02410980189755933
ca_2.0,0.02359674754843249
restecg_2.0,0.020346255840027458
cp_2.0,0.014219392996447791
ca_3.0,0.012187365652665007
fbs,0.010258369430493554
thal_6.0,0.007377766048497664
slope_3.0,0.005934575488723833
restecg_1.0,0.0005228119841287929
